Y,X
0,áo bị dơ không biết sao luôn
0,quần ống hơi to dây kéo dễ bị đứt
0,màu của áo như màu xanh lá ý chời mà nó còn đậm nữa khác hoàn toàn trên hình rất thất vọng về áo này
0,hàng nhìn thô và to hơn mình nghĩ giặt đi thấy có mùi thoang thoảng như cao su ảnh và phim mang tính nhận xu mình không chụp sản phẩm
0,sản phẩm bị lỗi và bị bẩn nữa
0,sản phẩm tạm được bị dính màu ở tay áo và dáng đồ cũng không được đẹp lắm
0,áo sọc đen vải nóng quá không giống chất mỏng lần
0,vải mỏng bị lộ không hài lòng cho lắm
0,áo cũng tạm được rất mỏng luôn đặc biệt là cái cổ áo nó xấu vô cùng
0,mong cửa hàng là áo trước khi gửi ạ áo nhăn kinh khủng
0,không nên mua vải cũng thô ráp chất ni lông nhiều rất nóng khó chịu
0,vải ok mà sao mở hộp ra thấy rách 1 lỗ vậy cửa hàng
0,hình trên áo in không giống mẫu
0,áo vải mỏng mà mặc nóng lắm với giá này thì không đòi hỏi gì nhiều mọi người nên cân nhắc trước khi mua nha
0,màu da nhưng hơi sáng quá mặc đồ mỏng bị lộ nếu màu da đậm tí thì ok
0,tiền nào của vải rộng cổ quá to mua về không mặc được
0,không biết có bị lỗi hay gì không chất vải cực kì tệ luôn không co giãn không giống các loại thun như trước đây mua buồn dễ sợ tin tưởng không đọc đánh giá ai dè
0,áo này chật kinh ý
0,hàng quá xấu không ôm người hàng rộng hơn kích cỡ bình thường
0,mua nhiều đồ của gumac lắm rồi mà chưa bao giờ thất vọng như lần này luôn vải mỏng và cứng dáng xấu đũng quần rõ dài mà ống lại ngắn mặc lên rất buồn cười không giống ảnh mẫu chút nào quần còn không có cúc lúc may không đóng cúc chứ không phải cúc bị rớt
0,áo trắng thì vải mỏng cổ thì rộng lắm luôn rồi áo còn ngắn cực hình dáng áo không hề giống ảnh cửa hàng đăng
0,không nghĩ 65k lại được cái áo hời như này dáng áo rộng sau 1 ngày dùng thì áo mọi người đã bị rách tay áo vì chỉ may cẩu
0,cổ áo không đứng được nên khá xấu vải mỏng dánh màu khác so với trên hình nhiều chỉ thừa khá thất vọng
0,áo vải mỏng nhìn xuyên thấu ưng mỗi cái cổ áo cũng dày dặn thôi rẻ nên chấp nhận
0,áo quần yêu màu trắng nhưng bị hơi đục không được trắng lắm
0,sản phẩm bị rách
0,vải mỏng chất lượng không tốt
0,hình ảnh chỉ mang tính chất nhận xu thôi nhưng mà áo khi mình nhận nó bị dơ mình giặt mấy lần mà không sạch mình chưa bao hàng đánh giá cửa hàng nào 3 sao luôn đây là lần đầu tiên đó ạ
0,giao mỗi 1 cái áo trong khi có người diễn tả cả bộ biết thế không mua
0,mỏng dính luôn mặc này không cẩn thận là hở hết bên trong cầm lên nhìn mà thấy chán
0,quần không giống như trong hình
0,hàng có nhiều chỉ thừa
0,quần mỏng xấu nhìn giống cái quần thể dục trường tiểu học đúng là tiền nào của đấy đừng ham rẻ quá nha mọi người
0,hôm nay lại mới để ý mình đặt kích cỡ l mà cửa hàng lại gửi kích cỡ m chán luôn bảo mặc sao ngắn
0,lớp lót co dãn kém mặc rất khó chịu vải ngoài nóng hợp mặc thời tiết mát thôi cổ xẻ sâu nên bạn nào mua để mặc công sở thì chú ý tay áo hơi bó nên cử động không được thoải mái
0,hàng như ảnh có điều tôi mua 1 cái giống chanh vậy giá 30k ở cửa hàng khác nhận về nha so 2 cái với nhau mới dám nhận xét bán gì mà bán mắc dữ gấp đến 6 lần kinh hoàng tởn tới già
0,màu da nhưng thực ra là màu kem sáng kích cỡ tạm ổn đệm ngực mỏng
0,áo này chất nilong nhiều vào thấy nóng không ưng tí
0,quần ống khá rộng đường may khá ẩu còn nhiều chỉ thừa chất vải hơi mỏng
0,áo hơi mỏng nhưng với giá này thì tốt tiền nào của nấy thôi
0,ống tay may sơ sài may còn bị ảnh màu mày cũng ok 3
0,áo trắng to chà bá lại còn bẩn áo đen thì vừa mặc đã đứt dây nhắn tin chung mọi người đừng tiếc rẻ mà mua
0,áo mình nhận xước nhìn rõ quá áo kích cỡ khá chuẩn 1m67 52kg mặc 36 nhé
0,cổ áo may bị lệch chất vải mỏng màu đen đã mỏng rồi chắc màu trắng nhìn còn mỏng hơn ý hình in dễ bong tróc lại còn bị lấm chấm đen
0,quần không giống so với trong hình lắm hơi dài so với mình
0,dáng áo bé
0,hàng tốt mỗi tội mới giặt đã bị xù phù hợp với giá tiền
0,áo dáng to so với kích cỡ 34
0,sản phẩm bình thường không đẹp lắm tiền nào của nấy không đòi hỏi nhiều
0,vải mỏng chỉ may không chắc lấy lâu về đã rách mong cửa hàng khắc phục
0,áo vải mỏng tay còn bị mốc ợ phần trắng trước ngực mọi người mua cần cân nhắc
0,chất liệu thì ok đó nhưng mà cảm giác mặc vào đường viền nó rất cứng và khó chịu kiểu dặm dặm làm mình lúc nào cũng để có tâm tới ấy quai sau lưng áo thì khá là dễ tuột nói chung chỉ sau 2 3 lần mặc là mình đã kiểu lần sau tắm không muốn chọn nó đi mặc rồi nói chung là không thích
0,áo khá mỏng nhìn như bị cũ cũ áo xậm màu hơn trong hình
0,mua nhiều lần của gumac chất ok nhưng với áo này thì sợ vải cứng đờ toàn ni lông
0,quần mỏng cạp mông luôn bé
0,mỏng không giống ảnh
0,hình ảnh chỉ mang tính chất nhận xu tiền nào vải náy nha mọi người hơi thất vọng về chất vải
0,hàng như ảnh vải mỏng bị lộ bikini chân váy không xòe quá tệ
0,áo giống với hình minh họa chất được phần ren áo khá cứng không thoải mái lắm
0,hàng kiểu bị thiếu vải nối thêm rất xấu đã thế còn thừa nhiều chỉ nói chung rất xấu ống quá giọng nói đúng là tiền nào của đấy
0,áo khá mỏng quần thì thấy được quần trong nhưng đối với giá thì sản phẩm ổn
0,ống tay siêu dài mà lại nhỏ mình về cắt thành tay lỡ mới mắc được
0,không nghĩ là áo quá mỏng đến nỗi như vậy nhìn mà xuyên thấu luôn á may là mua màu đen nên còn đỡ chứ mua màu trắng là thấy hết bên trong rồi áo thì không giống mẫu sau lưng không có chữ ngay tay áo thì không có mặt buồn 35k mọi cái chứ có phải 15 20k đâu mà bán như vậy bán thì phải có có tâm mọi chúc chứ
0,áo ra màu
0,mình khá là thất vọng áo chán không muốn nói thật sự so với giá thì mình thấy khá là đắt mua áo để mặc đi học nhưng buồn thật sự
0,quần không giống trên hình một chút nào hết
0,chất vải mẫu này khá cứng và ít thấm mồ hôi nên cân nhắc khi mua vào mùa hè
0,dù chọn kích thước s nhưng hình dáng rất to vải dày cứng nói chung cũng tốt phải bỏ tiền đi sửa nữa
0,mua nhiều lần lắm rồi lần này mua 2 cái quần thì 1 cái nó nhỏ mặc chật nói chung nên mọi người xem kỹ trước khi mua
0,vải mỏng chỉ thừa còn thừa
0,áo bị đốm chất lượng thấp bên bề ngang thì quá to bề dài ngắn
0,màu da tối quá như màu nâu luôn
0,dáng quần không giống như mô tả đáy ngắn không đẹp xấu yêu cầu cửa hàng cho hoàn trả lại
0,mình khá thất vọng ạ áo mỏng nhưng với giá tiền này thì ok logo áo như trên hình đâu dù sao cũng rẻ nên mình không đòi hỏi gì nhiều ạ
0,quần mới giặt đúng không lần đã bung viền
0,hình xích không giống trong ảnh
0,áo cúc hở màu tạm ổn ống tay và nách quá rộng so với mình
0,vải hơi mỏng và nhiều chỉ thừa hơi thất vọng
0,hàng như bìu 6 10
0,quần ống loe mọi người ạ tiền nào của nấy mua về lại tốn tiền sửa quần thì thôi mua chỗ khác đánh hơn mình mua 2 chỗ giá chênh nhau 10k mà hơn hẳn chất lượng
0,quần đẹp nhưng túi thì quá thất vọng vải xấu gói hàng cẩn thận quần nên mua nha mình 50kg mua kích cỡ l bị rộng eo quá
0,cổ áo mỏng lét vải không mát bảo sao giá rẻ nói chung là tiền nào của nấy
0,màu da xấu nhìn tổng thể cũng xấu thực ra mua giảm giá 19k thì thấy quá mắc so với chất lượng
0,áo hơi mỏng ống tay may không được đẹp chỗ cao chỗ thấp dúm dó hình ảnh không liên quan cho lắm
0,áo vải mỏng hình dáng rộng mình 60 kg mặc vẫn vừa kiểu hơi thông thả t
0,mình khá thất vọng về sản phẩm quần rất rất rộng luôn ý mặc dù đã chọn kích thước s rồi số đo của cửa hàng không hề chuẩn nhé bụng đã bị rộng rồi ống quần nhìn vào như mặc cái bao tải vào người mất công đặt mà không ưng tý nào
0,mỏng lắm
0,áo mình thích mua lần 2 rồi nhưng quần lót thì mặc 1 2 lần thấy bị giãn không ôm
0,chất vải và cổ may hơi xấu
0,vải mỏng chỉ thừa hơi nhiều hình ảnh và phim chỉ mang tính chất ngắn xu
0,dù là áo không gọng nhưng mặc không được thoải mái cho lắm nói chung với giá 19k thì chất lượng cũng chưa phù hợp giá tiền lắm
0,áo bị gãy mất dáng
0,áo ra màu đỏ sợ quá giặt mấy nước mà vẫn ra màu lần này nhận hàng hơi thất vọng
0,vải hơi mỏng với hơi ngắn nhưng đúng với giá tiền thôi
0,áo màu hồng mà nhận về không phải tông màu như mong đợi dáng dáng áo thì ổn
0,hàng như đầu buồi
0,lừa đảo áo như quần ý tốt nhất không lên mua phí tiền áo mỏng chỉ thừa rất nhiều cổ áo thì không được cứng
0,màu sắc và chất vải không đẹp như mong đợi mua ờ cửa hàng 3 lần rồi lần này không hài lòng lắm
0,áo trắng vải mỏng và quá to so với mình ai lớn hơn mặc thì sẽ đẹp hơn
0,quần không giống trên hình còn họa tiết kiểu gì vậy quần có mùi thuốc tẩy màu nhạt hơn trong hình
0,quần ống quá rộng mặc chật không thoải mái kích cỡ mỏng mặc được 1 ngày là rách rồi
0,áo bị giãn cổ hình dáng không đẹp biểu tượng không phải như trong ảnh mà là in vải mỏng mặc dù biết là giá rẻ nhưng mà như thế này thì thật sự là mua rồi mặc không được luôn
0,mỏng lắm ạ với lại hàng này chỉ 5k thôi thất vọng
0,dáng quần và chất vải không ưng ý lắm
0,sản phẩm ngắn hơn mong đợi khác quảng cáo
0,cổ áo nó bị làm sao ý
0,màu sắc và hình dáng sản phẩm không như hình ảnh giới thiệu về sản phẩm
0,áo cực kì mỏng kiểu như xuyên thấu luôn mọi người ạ nhìn cái áo trầm cảm luôn vải trơn nha mặc mát kiểu mặc như không mặc đã vậy cổ áo không bẻ được
0,áo ra màu khi giặt nhiều
0,áo kích cỡ m rộng ơi là rộng khóc chất vải thì dày dặn nhưng dáng dáng không được xinh xỉu như hình mẫu một bên cổ áo còn cao hơn bên kia không biết gumac làm kiểu như vậy hay bị lỗi nữa bỏ qua lỗi nhăn nhúm nha mọi người vì áo mới chưa giặt là gì
0,hàng cứ kiểu gì ý quần háng thấp quá ngồi hở hết áo hơi mỏng với có ít chỉ thừa nói chung tiền nào của đấy
0,màu đậm hơn trong ảnh mình m57 mang dài qua mắt cá đáy quần hơi chật còn ống quần thì rộng quá nói chung với giá này thì không có chê được nên mua nha lần sau sẽ tiếp theo theo tục ủng hộ
0,áo vải mỏng lộ áo trong
0,vải mỏng chỉ thừa nhiều chiều dày không phù hợp với đẹp người cao nha
0,áo này cũng tương tự áo kia bị chùn ở mép nối dây áo mắc dù mới nhìn vải khá mát mịn nhưng mặc lại kg đẹp
0,áo bị hết kích cỡ nhỏ còn kích cỡ lớn nên mua luôn kích cỡ lớn mua về tặng mẹ mà mẹ chê áo cho người lớn tuổi mặc đúng là áo không lung linh như trên hình thật phải chi mình tin mấy bạn đánh giá trước là được rồi
0,dáng áo hơi nhỏ
0,đù má xấu thậm tệ được cái vải mịn hơn tất cả thì thôi lại còn may quả cổ ối dồi ôi má thề mấy cái kia xem đánh giá có mỗi cái này không xem để rồi về quả hàng thôi ai nghèo quá thì mua tết nhất rồi mua để có cái mặc tết chứu hết tiền
0,áo ra màu quá biết đúng hàng gumac không nữa
0,sản phẩm bấm lỗ hơi lỗi bị lệch dây hơi xích ngắn so với hình
0,áo trắng vải rất mỏng mang áo ngực màu da cũng lộ mang đi làm không ổn bên dùng loại vải dày hơn 1 xí
0,cái dây hơi khác với ảnh nhiều chỉ thừa
0,tính mua mặc đi làm mà áo rộng nên đóng thùng nhìn bị phồng hơi kì chắc chỉ mặc khoác kiểu thôi chứ mặc đóng thùng hơi kì vải cứng nữa
0,quần chất tốt sờ rất thích tuy nhiên màu trắng hình dáng không đẹp mặc không tôn hình dáng dễ bị lộ nội y nên cân nhắc
0,cổ áo quá to luôn mặc chả cân đối lần này mình rất thất vọng luôn nhưng đã lỡ rồi thôi vậy
0,sản phẩm tệ bung chỉ nhiều chỗ nhiều chỉ thừa khâu lại được 1 lần bục đũng không thể khâu lại được thất vọng
0,quần và áo đều mặc rất chán
0,đang quạo mà hàng về thì nguôi xíu khui phát quạo hơn vì áo không ưng lắm định mệnh
0,hừm áo rất dễ bị xù khi giặt nhiều lần ấy áo mới mà đã có xù khi nhận được rồi mình mua áo thun gumac trên lazada khá ok mà khs áo này xù thế
0,hong nên mua nha bận lên nhìn sang chấn có tâm lý lắm luôn khác mẫu hoàn toàn hong có phần rút dây lộ bụng nhìn hình sang bao nhiều thì mặc vào phèn bấy nhiều nha không nên mua hối hận đó
0,áo bị im lệch do mình hơi ốm nên thấy hơi rộng bị lem màu chữ do không có thời gian nên không chụp
0,quần mua sự kiện giảm giá nên cũng không mong gì hơn nói chung 3 sao
0,chất quần hơi mỏng đường may không được đẹp dễ bung
0,sản phẩm chán không lên mua mọi người ra chỗ khác mua
0,áo khá mỏng
0,vải mỏng có đôi chỗ may thừa chỉ mình m59 nặng 48 cân mặc hơi chật nha nên các bạn nhớ lưu ý
0,mỏng lắm ý mới mặc 1 hôm rách tả tơi buồn lắm khóc nhưng mà giá rẻ cũng không đòi hỏi nhiều
0,áo bị lỗi ạ mua 4 cái bị lỗi nghìn áo mua thừa khá nhiều
0,hừm có mua 2 cái áo 1 cái croptop với 1 áo luôn vui tuổi luôn vui tuổi thì đẹp còn cái croptop thì không ổn vải mỏng khách phải vải thun bị rộng dài dây cột thì bung chỉ nhiều
0,váy trắng bị 1 vết bẩn không biết giặt có sạch không
0,tớ muốn trả hàng hoàn tiền ạ chất lượng sản phẩm quá kém rất tệ phải gọi là tệ trong tệ
0,áo rách bị bẩn nhuốm màu nữa nói chung là chán giặt cũng không sạch luôn đúng là của rẻ chả mong chờ gì được
0,quần chất vải bình thường rất nóng dáng quần không đẹp như hình nút phối quần sáng so với màu quần
0,chất vải dày dặn kiểu sọc nhưng hình dáng lại to hơn kích thước chuẩn thông thường như áo lụa chân váy hình dáng cũng to hơn
0,cái hình in xấu dã man khác xa với hình vải thì quá mỏng chán buồn nói
0,áo kích cỡ s mà rộng dã man như là kích cỡ l luôn vậy
0,mình không hài lòng với quần cho lắm ý vải thì cực kì là mỏng luôn ạ mỏng đến nỗi mà mình nhìn được cạ thấy mình luôn í không có ý xúc phạm gì đến cửa hàng nhưng mà mua cái quần này về có khi lại làm nùi giẻ lau í ạ mỏng lắm luôn ấy với lại mình cũng sợ nó bị rách nữa bạn nào cân nhắc trước khi mua nha
0,vải ok dáng áo ok phù hợp với giá tiền 79k mình có chút hụt hẫng vì từ vải đến dáng của gumac không biết có phải giảm giá nên chất lượng không được như ngoài cửa hàng hơi bị
